title;imdb;mid;trailer;date;directors;actors;poster;netflix_id;runtime;rating;descr;Action;Adventure;Animation;Comedy;Drama;Family;Fantasy;Mystery;Romance;Science Fiction;Thriller;class1;class2;class3
8 Mile;tt0298203;/m/017d93;[];08/09/2002;Curtis Hanson;Eminem, Kim Basinger, Mekhi Phifer, Brittany Murphy;http://ia.media-imdb.com/images/M/MV5BMTU2MTgyOTk3MF5BMl5BanBnXkFtZTYwOTg2NTI5._V1_SX300.jpg;['60024922'];110;6.7;A young rapper, struggling with every aspect of his life, wants to make the most of what could be his final opportunity but his problems around gives him doubts.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
80 Minutes;tt1119178;/m/0crvkzq;[];2008;Thomas Jahn;Gabriel Mann, Oliver Kieran-Jones, Josh Dallas, Natalia Avelon;http://ia.media-imdb.com/images/M/MV5BNTg0NzE0MDY4MF5BMl5BanBnXkFtZTcwMzQ5Mjc1MQ@@._V1_SX300.jpg;['70101847'];92;4.9;80 minutes to live or die. Alex got injected with a high tech poison by his creditor and put on a time...;1;0;0;0;0;0;0;0;0;0;1;0.295726496;0;0.694560669
88 Minutes;tt0411061;/m/0bf_l7;[];14/02/2007;Jon Avnet;Al Pacino, Alicia Witt, Leelee Sobieski, Amy Brenneman;http://ia.media-imdb.com/images/M/MV5BMTgxOTg1NzgzMV5BMl5BanBnXkFtZTcwNTM3Mjc1MQ@@._V1_SX300.jpg;['70045851'];108;4.2;On the day that a serial killer that he helped put away is supposed to be executed, a noted forensic psychologist and college professor receives a call informing him that he has 88 minutes left to live.;0;0;0;0;1;0;0;1;0;0;1;0.001709402;0.329545455;0.39748954
8½;tt0056801;;http://video-http.media-imdb.com/MV5BNzk1YWY3ZTItNTBlOS00MDExLTg4NDgtZWFkZDY1NTA3MzRkXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1422382029&Signature=zNDHj4U2L1WT89LPA8VyIhO9AtBipuub-N~kliEQCTXMmMLJV9qvWxWPq1iW-ZAEiPKyJi9vFAIHyc1daKLQQTp79KZK-xVVkGV048aXNB-~eAlQdnzaT5gh3kQKSQeuBxlyObl~Dxw-PsptGQMXw-YtRNGfxcrfNWIFNJj5rPQ_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;1963;Federico Fellini;Marcello Mastroianni, Claudia Cardinale, Anouk Aimée, Sandra Milo;http://ia.media-imdb.com/images/M/MV5BMTQ4MTA0NjEzMF5BMl5BanBnXkFtZTgwMDg4NDYxMzE@._V1_.jpg;60021830;138;8.1;A harried movie director retreats into his memories and fantasies.;0;0;0;0;0;0;1;0;0;0;0;0.11;0;0
99 Francs;tt0875113;/m/04q8ssx;[];26/09/2007;Jan Kounen;Jean Dujardin, Jocelyn Quivrin, Patrick Mille, Vahina Giocante;http://ia.media-imdb.com/images/M/MV5BMTQxMTc3MDIzNl5BMl5BanBnXkFtZTcwODkyMjA0Mg@@._V1_SX300.jpg;[];100;6.4;The life of Octave Parango, a flamboyant ad designer, filled with success, satire, misery and love.;0;0;0;1;1;0;0;0;0;0;0;0;0.659090909;0
A Beautiful Mind;tt0268978;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e15422&bitrateid=472&vendorid=102&type=.mp4;2001;Ron Howard;Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer;http://ia.media-imdb.com/images/M/MV5BMTQ4MDI2MzkwMl5BMl5BanBnXkFtZTYwMjk0NTA5._V1_.jpg;60021793;135;8.2;After a brilliant but asocial mathematician accepts secret work in cryptography, his life takes a turn for the nightmarish.;0;0;0;0;1;0;0;0;1;0;0;0;0.36;0
A Clockwork Orange;tt0066921;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e123583&bitrateid=472&vendorid=102&type=.mp4;1971;Stanley Kubrick;Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke;http://ia.media-imdb.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_.jpg;383466;136;8.4;In future Britain, charismatic delinquent Alex DeLarge is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.;0;0;0;0;1;0;0;0;0;1;0;0.01;0.32;0
A Fistful of Dollars;tt0058461;;;1964;Sergio Leone;Clint Eastwood, Marianne Koch, Gian Maria Volonté, Wolfgang Lukschy;http://ia.media-imdb.com/images/M/MV5BMTAzODAxMzg1MzZeQTJeQWpwZ15BbWU3MDgwMzE5ODk@._V1_.jpg;21236200;99;8.1;A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A History of Violence;tt0399146;/m/05rfst;[];16/05/2005;David Cronenberg;Viggo Mortensen, Maria Bello, Ed Harris, William Hurt;http://ia.media-imdb.com/images/M/MV5BMTczMzIzMTQ1OV5BMl5BanBnXkFtZTYwMDQwNjk2._V1_SX300.jpg;['70032597'];96;7.7;A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core.;0;0;0;0;1;0;0;0;0;0;1;0;0.318181818;0
A Horrible Way to Die;tt1617620;/m/0djbmzn;['http://www.youtube.com/watch?v=A829VRylP1s'];14/09/2010;Adam Wingard;AJ Bowen, Amy Seimetz, Joe Swanberg, Brandon Carroll;http://ia.media-imdb.com/images/M/MV5BMTAzMjAyMzg2MzheQTJeQWpwZ15BbWU3MDg2NTc1MzY@._V1_SX300.jpg;['70152652'];87;5.2;An escaped murderer is in pursuit of his ex-girlfriend, who has fled to start a new life in a small town.;0;0;0;0;0;0;0;0;0;0;1;0.003418803;0;0.874476987
A Scanner Darkly;tt0405296;/m/05gjj1;[];07/07/2006;Richard Linklater;Rory Cochrane, Robert Downey Jr., Mitch Baker, Keanu Reeves;http://ia.media-imdb.com/images/M/MV5BMTU1ODk2NTkwNF5BMl5BanBnXkFtZTcwNDkwNDI0MQ@@._V1_SX300.jpg;['70042671'];100;6.5;An undercover cop in a not-too-distant future becomes involved with a dangerous new drug and begins to lose his own identity as a result.;0;0;1;0;1;0;0;0;0;1;1;0.263247863;0.346590909;0.092050209
A Separation;tt1832382;;http://video-http.media-imdb.com/MV5BNjM4YzI0OTgtMTY3OS00ODkxLTllMjItYzc1M2U2MTUwNjQxXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1422392220&Signature=pgYkojutoSXiXjbVnaNR2vYyaAsCQWjaKOE9f2uOeTrbj9VjsaivadC6e33KZ4Ah9Hx-arTXOdWOmKhntsnTHgaga39WLwIwcpdTih3dYUicUfuAMRC743Op2gvXz7~1pwIdeczWU7HLAoHHkCHMMZCo9jZWwotsQ5Iyv9k99Hs_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;2011;Asghar Farhadi;Peyman Moaadi, Leila Hatami, Sareh Bayat, Shahab Hosseini;http://ia.media-imdb.com/images/M/MV5BMTYzMzU4NDUwOF5BMl5BanBnXkFtZTcwMTM5MjA5Ng@@._V1_.jpg;70175439;123;8.4;A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
A Serious Man;tt1019452;/m/02r1c18;['http://www.youtube.com/watch?v=9FYtprwg1As', 'http://www.youtube.com/watch?v=MQMFrkmlPPU'];12/09/2009;Ethan Coen, Joel Coen;Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick;http://ia.media-imdb.com/images/M/MV5BMjAwODUxMjA0M15BMl5BanBnXkFtZTcwNjIyMzY3Mg@@._V1_SX300.jpg;['70114021'];106;5.7;Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.;0;0;0;1;1;0;0;0;0;0;0;0;0.659090909;0
A Single Man;tt1315981;/m/07l50_1;['http://www.youtube.com/watch?v=aypyJtHzC70'];11/09/2009;Tom Ford;Colin Firth, Julianne Moore, Nicholas Hoult, Matthew Goode;http://ia.media-imdb.com/images/M/MV5BMzU5MTk4MjQ2M15BMl5BanBnXkFtZTcwNDU0MzEwMw@@._V1_SX300.jpg;['70117297'];99;7.5;An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles.;0;0;0;0;1;0;0;0;1;0;0;0;0.340909091;0
Aaltra;tt0405629;/m/0gm3pyg;['http://www.youtube.com/watch?v=RtOxOaSGwis&feature=player_detailpage', 'http://www.youtube.com/watch?v=OXmJunroNt4'];29/01/2004;Benoît Delépine, Gustave Kervern;Benoît Delépine, Gustave Kervern, Michel de Gavre, Gérard Condejean;http://ia.media-imdb.com/images/M/MV5BMTU5MzcwMDI2OV5BMl5BanBnXkFtZTcwMzQxNTgzMg@@._V1_SX300.jpg;['70046350'];92;6.5;In this pitch black comedy the rivalry between two neighbors escalates into an all out war. True a maintenance error on a tractor they both end up, paralyzed, in a wheelchair. It seems they...;0;0;0;1;1;0;0;0;0;0;0;0;0.659090909;0
Accidents Happen;tt1119123;/m/04y80x6;[];14/08/2010;Andrew Lancaster;Geena Davis, Harrison Gilbertson, Harry Cook, Joel Tobeck;http://ia.media-imdb.com/images/M/MV5BMTU3NDY5MjU0Nl5BMl5BanBnXkFtZTcwNzU2MjUwNA@@._V1_SX300.jpg;['70116995'];92;6.5;There are dysfunctional families... and then there are the Conways. After a family tragedy, 15-year-old Billy Conway has become the de facto glue between his bitter mom, distant brother, ...;0;0;0;1;1;0;0;0;0;0;0;0;0.659090909;0
Across the Universe;tt0445922;/m/0c05g3;['http://www.youtube.com/embed/s6Pjkr7ULaQ'];09/09/2007;Julie Taymor;Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs;http://ia.media-imdb.com/images/M/MV5BMTIyMTUwNzg3Nl5BMl5BanBnXkFtZTcwMjM1MDI1MQ@@._V1_SX300.jpg;['70045863'];133;7.6;The music of the Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.;0;0;0;0;1;0;1;0;1;0;0;0.027350427;0.420454545;0
Addiction;tt0342689;/m/0h97hd8;[];14/01/2004;Minna Virtanen;Mi Grönlund, Nicke Lignell, Jasper Pääkkönen, Amira Khalifa;http://ia.media-imdb.com/images/M/MV5BMTkyNjYwOTYzNF5BMl5BanBnXkFtZTcwMTE1MjA0MQ@@._V1_SX300.jpg;[];99;2.6;Thirty-something Jonna, successful ad executive with cozy architect husband Niklas and two small children, leads a double life. She is constantly on the lookout for quick casual sex. When ...;0;0;0;0;1;0;0;0;1;0;0;0;0.340909091;0
Adoration;tt1074929;/m/02z5y6_;['http://www.youtube.com/watch?v=T4lhkdVcZuk', 'http://www.sonyclassics.com/adoration/', 'http://www.festival-cannes.com/en/mediaPlayer/9504.html'];22/05/2008;Atom Egoyan;Devon Bostick, Rachel Blanchard, Louca Tassone, Kenneth Welsh;http://ia.media-imdb.com/images/M/MV5BMTMxNzU1MjExNl5BMl5BanBnXkFtZTcwNTkxNDAyMg@@._V1_SX300.jpg;['70100398'];100;4.7;For his French-class assignment, a high school student weaves his family history in a news story involving terrorism, and goes on to invite an Internet audience in on the resulting controversy.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
After Sex;tt0119923;/m/0ckbnz;[];03/09/1997;Brigitte Roüan;Brigitte Roüan, Patrick Chesnais, Boris Terral, Nils Tavernier;http://ia.media-imdb.com/images/M/MV5BMjEwNDYxNjg1M15BMl5BanBnXkFtZTcwMjY3NTcxMQ@@._V1_SX300.jpg;['70036132'];97;6.1;The end of an affair from the woman's point of view.;0;0;0;1;1;0;0;0;1;0;0;0.032478632;0.988636364;0
Afterschool;tt1224366;/m/04lqvdl;['http://www.youtube.com/watch?v=5uMhQAEKi6E'];18/05/2008;Antonio Campos;Ezra Miller, Jeremy Allen White, Emory Cohen, Michael Stuhlbarg;http://ia.media-imdb.com/images/M/MV5BNjg4MzgyMDQ1OV5BMl5BanBnXkFtZTcwNDAwMDQ2Mw@@._V1_SX300.jpg;['70111858'];120;5.9;An Internet-addicted prep-school student captures on video camera the drug overdose of two girls.;0;0;0;0;1;0;0;1;0;0;0;0;0.329545455;0
Agora;tt1186830;/m/04q24zv;['http://www.youtube.com/watch?v=RbuEhwselE0'];17/05/2009;Alejandro Amenábar;Rachel Weisz, Max Minghella, Oscar Isaac, Ashraf Barhom;http://ia.media-imdb.com/images/M/MV5BMTA2MjIwMjE0MjZeQTJeQWpwZ15BbWU3MDU4ODIwODI@._V1_SX300.jpg;['70115886'];127;7.1;A historical drama set in Roman Egypt, concerning a slave who turns to the rising tide of Christianity in the hope of pursuing freedom while falling in love with his mistress, the famous philosophy and mathematics professor Hypatia of Alexandria.;0;1;0;0;1;0;0;0;1;0;0;0.034188034;0.392045455;0
Ajami;tt1077262;/m/079rlmq;[];17/09/2009;Scandar Copti, Yaron Shani;Fouad Habash, Nisrine Rihan, Elias Saba, Youssef Sahwani;http://ia.media-imdb.com/images/M/MV5BMTMyNjY0MDE3MF5BMl5BanBnXkFtZTcwNDk4NTgxMw@@._V1_SX300.jpg;['70120810'];124;7.3;Ajami is the religiously mixed community of Muslims and Christians in Tel Aviv. These are five stories about the everyday life in Ajami.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Albatross;tt1541149;/m/0h1hhph;[];;Niall MacCormick;Jessica Brown Findlay, Harry Treadaway, Josef Altin, Felicity Jones;http://ia.media-imdb.com/images/M/MV5BMjI3ODY3OTczNF5BMl5BanBnXkFtZTcwODkxNTE0Ng@@._V1_SX300.jpg;[];90;5.9;Beth, a bookish teenager, befriends Emilia, an aspiring novelist who has just arrived in town. Emilia soon begins an affair with Beth's father that threatens to have devastating consequences.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Alexandra's Project;tt0338706;/m/04zhh7;['http://www.youtube.com/watch?v=Bzh3U-jYEXY'];2003;Rolf de Heer;Gary Sweet, Helen Buday, Bogdan Koca, Samantha Knigge;http://ia.media-imdb.com/images/M/MV5BODIxNTE3NDcyMV5BMl5BanBnXkFtZTcwMzI2ODc4Mw@@._V1_SX300.jpg;['70019002'];103;5.9;A regular suburban family man comes home from work on his birthday to find a deserted house and a videotape waiting to be played...;0;0;0;0;1;0;0;0;0;0;1;0;0.318181818;0
Alien;tt0078748;;http://video-http.media-imdb.com/MV5BYWYxM2Y5YzEtMmFmZC00NGQ3LWIzYWUtMGEwOGY0MmQ3ZjNiXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1422391639&Signature=Jw~fGCnUcoXoYgI6bTxZXqGhKLWbYGH0Cwn~b3eVJ27Y2Q5xCO~WmzzBAIEtkmnrE7atSnn6yGuU8EC-sMs2Pu-Y73rrN5jTs3UMz4jQedY4B0Smv-wavQdRX9DvVQ0vwSl7YOdx8skjf8U1cs5YilW5gn5rxmWmzV8~W3fJuQk_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;1979;Ridley Scott;Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton;http://ia.media-imdb.com/images/M/MV5BMTU1ODQ4NjQyOV5BMl5BanBnXkFtZTgwOTQ3NDU2MTE@._V1_.jpg;60031504;117;8.5;The commercial vessel Nostromo receives a distress call from an unexplored planet. After searching for survivors, the crew heads home only to realize that a deadly bioform has joined them.;0;1;0;0;0;0;0;0;0;1;0;0.21;0;0.06
Alien Abduction;tt0426396;/m/05f2w9w;[];26/04/2005;Eric Forsberg;Megan Lee Ethridge, Griff Furst, Marissa Morse, Patrick Thomassie;http://ia.media-imdb.com/images/M/MV5BMTUzMDAzMzA1OV5BMl5BanBnXkFtZTcwNzI0NzkyMQ@@._V1_SX300.jpg;['70019496', '70022004'];96;6;After being abducted by extra terrestrials, Jean and her friends are committed to a top secret government run mental institution to undergo tests and be brainwashed.;0;0;0;0;0;0;0;0;0;1;0;0.136752137;0.005681818;0.066945607
Aliens;tt0090605;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e83435&bitrateid=471&vendorid=102&type=.mp4;1986;James Cameron;Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser;http://ia.media-imdb.com/images/M/MV5BMTYzNzU5MzQ4OV5BMl5BanBnXkFtZTcwMDcxNDg3OA@@._V1_.jpg;60029358;137;8.4;The planet from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?;1;1;0;0;0;0;0;0;0;1;1;0.49;0;0.64
All About Eve;tt0042192;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e11007&bitrateid=471&vendorid=102&type=.mp4;1950;Joseph L. Mankiewicz;Bette Davis, Anne Baxter, George Sanders, Celeste Holm;http://ia.media-imdb.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_.jpg;242142;138;8.4;An ingenue insinuates herself in to the company of an established but aging stage actress and her circle of theater friends.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
Alpha Dog;tt0426883;/m/05n3l7;[];27/01/2006;Nick Cassavetes;Bruce Willis, Matthew Barry, Emile Hirsch, Fernando Vargas;http://ia.media-imdb.com/images/M/MV5BMjExODMyNzQzMl5BMl5BanBnXkFtZTYwNzMwNTg3._V1_SX300.jpg;['70042690'];122;6.6;A drama based on the life of Jesse James Hollywood, a drug dealer who became one of the youngest men ever to be on the FBI's most wanted list.;0;0;0;0;1;0;0;0;0;0;0;0;0.306818182;0
Amadeus;tt0086879;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e20839&bitrateid=471&vendorid=102&type=.mp4;1984;Milos Forman;F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice;http://ia.media-imdb.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_.jpg;247351;160;8.4;The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
Amazing Grace;tt0454776;/m/08sfxj;[];16/09/2006;Michael Apted;Ioan Gruffudd, Romola Garai, Benedict Cumberbatch, Albert Finney;http://ia.media-imdb.com/images/M/MV5BMTI5MTkxMDA4M15BMl5BanBnXkFtZTcwNjA4Mjg0MQ@@._V1_SX300.jpg;['70061494', '70068910'];118;7;The idealist William Wilberforce maneuvers his way through Parliament, endeavoring to end the British transatlantic slave trade.;0;0;0;0;1;0;0;0;1;0;0;0;0.340909091;0
Amelie;tt0211915;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e20379&bitrateid=471&vendorid=102&type=.mp4;2001;Jean-Pierre Jeunet;Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta;http://ia.media-imdb.com/images/M/MV5BMTYzNjkxMTczOF5BMl5BanBnXkFtZTgwODg5NDc2MjE@._V1_.jpg;60023359;122;8.4;Amelie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.;0;0;0;1;0;0;0;0;1;0;0;0;0.58;0
American Beauty;tt0169547;;http://video-http.media-imdb.com/MV5BMzhjZjNjN2UtMzFkNi00ZmQ5LWFmNWEtMDExOWZlODc5NDJhXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1422387140&Signature=lmBG7np~6U8FMbkLFHddQxwmugaUNY8INLmK-geowN68~p1D9XMvN3BNphBDX~asV4FyI0xzLz~UZvMzAy8DmVmKtdbuvZ5r85weoO4KLTxNRy9nZr6HMirBB2wNquIxWyZZW7t1dXVal4vml-~xwS7-rvDWe85SGgzFMn-7uRU_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;1999;Sam Mendes;Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley;http://ia.media-imdb.com/images/M/MV5BMjM4NTI5NzYyNV5BMl5BanBnXkFtZTgwNTkxNTYxMTE@._V1_.jpg;60000407;122;8.4;A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.;0;0;0;1;1;0;0;0;1;0;0;0.02;0.98;0
